Unnamed: 0,discussion,is_moderator,response
10,"You claimed, in the Donald Trump TALK section that Trump's desire to wait until 'we know what the hell is going on' was appealing to the 6th grade mentality of many voters."" I think you're confusing that with Barack Obama's mindless mantra ""Hope and change.'Will you kindly apologize to the wikipedia community, and the public at large - already well aware of the left wing bias inherent in it's editors, for making such a gratuitously unsavory and contemptible comment about citizens of the United State of  America. Thank you.  ",0.0,"3

This comment is confrontational and escalates the tension in the discussion. While it is"
11,"By now it should be evident to you that many other editors are watching the Billy Joel article, and that all the time you spend trying to remove joelfan.com and switch it with your own spam link is wasted effort. Wikipedia operates by consensus, and the consensus is clearly against you. ",0.0,"3

The comment is informative and attempts to clarify the situation to the commenter. However, it"
12,Explained above.,0.0,1
13,Welcome to Wikipedia!!!,0.0,1
14," Hello, I'm . I noticed that you made one or more changes to an article, Latin trap, but you didn't provide a reliable source. It's been removed and archived in the page history for now, but if you'd like to include a citation and re-add it, please do so! If you need guidance on referencing, please see the referencing for beginners tutorial, or if you think I made a mistake, you can leave me a message on . Thank you.   
''If this is a shared IP address, and you did not make the edits, consider creating an account for yourself or logging in with an existing account so you can avoid further irrelevant notices.''",0.0,1
15,"Hello, this is a discussion about your editing at Wikipedia:Administrators'_noticeboard/Incidents#Something_ain.27t_right_here..  Please offer any comments there.   ",0.0,1
16,"Hello. I do this because I feel the need to impress on you, or someone? that William L. Uanna was a prominent person in history. Connected to many events and issues. Not just the Manhattan Project. The Atomic Bomb ushered in a new age - Bud Uanna had a varied and exciting career before Trinity Site at Alamogordo, New Mexico and up to Addis Ababa, Ethiopia. The question still stands, for me anyway. Why can't the statement that he was murdered be put in William L. Uanna.      ",0.0,1
17,"Hello Quasar G.. I am just letting you know that I declined the speedy deletion of Penaltier, a page you tagged for speedy deletion, because of the following concern: '''There is no indication that  or someone they know made this up, not eligible for A11.'''  Thank you.  ~ GB fan",0.0,1
18,Notability of Ryan mcneal,0.0,1
19, What constitutes vulgarity? ,0.0,1
20, October 2011 ,0.0,"Comment: ""This is just another example of how the government is trying to control our lives."
21," Hello, I'm . I wanted to let you know that one or more of  to Corruption have been undone because they did not appear constructive. If you would like to experiment, please use the sandbox. If you think a mistake was made, or if you have any questions, you can leave me a message on . Thanks.  ",0.0,1
22,Image needs ALT text,0.0,1
23," Please stop your disruptive editing. If you continue to vandalize Wikipedia, as you did with this edit to Category:Lists of models, you may be blocked from editing.  ",0.0,4
24, December 2012 ,0.0,"Comment: ""This is just another example of how the government is trying to control our lives."
25," Please let me add that Palesine is derived from the hebrew word ""polesh"" which means invader ",0.0,"3

The comment seems to be adding a historical or linguistic perspective to the discussion. However,"
26, March 2014 ,0.0,"Comment: ""This is just another example of how the government is trying to control our lives."
27, You may be '''blocked from editing without further warning''' the next time you vandalize Wikipedia.   ,0.0,1
28,"Hey Cornucopia, thank you very much. At least the origin of ""Milian"" is now revealed, though the article says nothing, why she expects it more helpful for her career than ""Flores"" (does it sound more successish?). But the Christin'''a'''-change is still obscure. Bye  ",0.0,1
29,"This area is for editors who have not participated in the discussion until now. Please put your responses here. Please, do not edit the individual responses, but put your comments at the end of the section. Limit your comments to a few sentences.
Try not to be confrontational. Be friendly and keep calm.
Mediate where possible - identify common ground, attempt to draw editors together rather than push them apart.
If necessary, educate users by referring to the appropriate Wikipedia policies.
Thank you. 
Being an expert of the Ancient Greek language, I can assure the readers that the reconstructed pronunciation is indeed 100% valid, and it is found in '''all''' respectable handbooks, also in the most recent ones. Even if the pronunciation of the ""dasea"" as fricatives may have been anticipated in certain dialects and in certain registers in the Classical period already, nothing suggests that it was adopted universally until the Roman period.  (CET)
WRONG ! Dionysios Thrax contradicts everthing you say. You might be an expert on the reconstructed pronunciation but you are not an expert on the Greek language. Dionysios Thrax definition of the mediae makes absolutely no sense unless the dasea were fricatives. There is absolutely no evidecne in the historical record to indicate that the dasea were anything but fricatives. Even Latin renders them as fricatives and Sanskrit renders Xi as a fricative to. The Greek translation of the Hebrew bible also indicates that the dasea and mediae were fricatives since 280 BC in both languages according Hebrew linguists therefore the reconstructed pronouncation must be is wrong. 
Let us not start the discussion once again (or move it to somewhere else). Even if we cannot agree on the true Ancient Greek pronunciation, one thing cannot be contested even by you: that the modern scholars are supporting the ""Erasmian"" pronunciation virtually unanimously.
WRONG ! The majority of modern scholars do not support the Erasmian view or the reconstructed pronunciation. The reconstructed pronunciation is considered by the majority of linguists to be scientifically invalid and untennable. The only reason why its is still taught is as an English speaking convention and no supporting evidence for it is provided since there isn't any. All the modern evidence including inscriptions and Semitic linguistics shows the reconstructed pronunciation is wrong. 
Caragounis, Thrax' authority, represents a minority view which is not even cited by the respected linguists. He may of course be right anyway, but the point is that a Wikipedia page should reflect the mainstream view or views, or it will be misleading for the non-experts who are looking for a brief but balanced overview of the current state of scholarship. 
How can Caragounis be a minority view when it is support be all Semitic linguists who state that the dasea and mediae in both Hebrew and Greek were already fully established as fricatives in the time of Alexander the Great. This implies that even in classical times they must have been pronounced as fricatives as well which is what Caragounis is claming and that totally invalidates the reconstructed pronunciation in its entirety since once Semitic linguistics is accepted that the plosives in the Phoenicians alphabet were also allophones for fricatives so that all the fricative in proto-Semitic can be represented there can be no evidence to support a non fricative nature of the dasea and mediae before classical times.
It is totally misleading to readers to present the reconstructed pronunciation as a valid theory on the matter and as unchallenged. The fact is that the reconstructed pronunciation is a 19th century theory that was never proven by its advocates at the time it was created and has still not be proven no can it be since all the modern evidence goes against it. Furthermore the Erasmian and reconstructed pronunciations are based on a documented lie and on racism which Caragounis has shown was the primary motivation of the advocates of this theory in its creators own words. 
 Please do not WRONG! me once more. As far as I know, you have not been able to cite one single modern linguist specialised in Ancient Greek who has written an article or a book in which he or she argues that Classical Attic was pronounced just like Modern Greek (Caragounis is ''not'' a linguist). All handbooks written in English, German, and French agree on the reconstruction as it is now presented on the Ancient Greek phonology-page. So, it ''is'' the majority view. Period. 
A book ? Science isn't conducted by authors of books regurgitating out of date unsubstantiated rubbish and popularist fallacies in order to make money. Its conducted by presenting scientific papers and I have cited such. Chrys C. Caragounis (1995): ""The error of Erasmus and un-greek pronunciations of Greek"". Filologia Neotestamentaria 8 (16), Th. Papadimitrakopoulos (1889): Βάσανος τῶν περὶ τῆς ἑλληνικῆς προφορᾶς Ἐρασμικῶν ἀποδείξεων. Athens, Professor Dionysios Karvelas: ""Erasmian Pronunciation: One More Falsification of History"". I also cite the Wikipedia article on Hebrew  which shows that biblical Hebrew consonants were pronounced like modern Greek ones thus implying that in 280 BC modern Greek pronunciation was well established as the norm. 
 Please, just one book or one article written by a ''modern linguist specialised in Ancient Greek''. Caragounis is ''not'' a linguist or a philologist, and Papadimitrakopulos is ''not'' modern. But, please, let us take the technical discussion somewhere else; you are welcome to pick the arena. 
You are talking nonsense again. The reconstructed pronunciation is not a modern theory nor has it been substantiated by modern linguists. Repeating the same old 19th century out of date fallacies in a modern book does not constitute evidence or substantiation. The only differnece between modern linguists repitition of these fallacies and the original is that the modern linguists have removed all of the racist slurs from the original work (well most of them anyway) and have included the disclaimer that none of the nonsense they are regurgitating is provable given the historical evidence, or rather the complete lack of it, and modern research which is unanimously against the theory. Thanos Papadimitrakopulos publication is a perfectly valid source since it postdates the standard form of the reconstructed pronunciation that is still taught today (a theory that is never substantiated to students but is taught as unproven dogma) and he has never been refuted. Chrys C. Caragounis is a linguistics expert and a philologist and is thus a valid source. Development of Greek and the New Testament, Mohr Siebeck (ISBN 3161482905) is his most recent publication a probable the most recent research on ancient Greek pronunciation in existence. Anyone claiming to be an expert in ancient Greek that still believes in the reconstructed pronunciation has no right to be called an expert since it is like believing in the Ptolemaic Earth centred universe which observations have shown to be wrong. All of the experts in Semitic linguistics are against the reconstructed pronunciation of ancient Greek since they make it perfectly clear that ancient Greek was pronounced like modern Greek at the time the Septuagint was translated from the original Hebrew in 280 BC. This therefore implies that classical Greek must have been pronounced like modern Greek as well otherwise 72 Hebrew expert who were taught ancient Greek as children 50 years earlier would not have associated the proto-Semitic fricative gimel in Gomorra which was no longer used in the written language but was only spoken as a breath with the Greek letter gamma. Gamma therefore must have been fricative and there a myriads of other examples that Semitic linguists use to show that ancient Greek was pronounced like modern Greek and that the Hebrew alphabet represented the mediae and dasea and z as fricatives. It is clear from the study of Semitic linguistics and from experts in the filed like Caragounis and Papadimitrakopulos that the reconstructed pronunciation is a racist sham based on Germanic supremacy (as can be seen from the slurs in the papers of is original creators) and an affront to science and the only reason why it is still being tangut is for ethnocentric reasons alone. 
Normally it's not worth the effort to refute Thrax's contributions: both their style and their content is normally sufficient to discredit them in the eyes of impartial readers without further comment. But given that he has now started adopting a different line of argument it's probably worth mentioning a couple of points:
 the semitic letter gimel was pronounced [g], notably in the Phoenician alphabet which gave rise to the Greek; it developed a fricative allophone in Ancient Hebrew, but only between vowels, and it is still pronounced [g] in modern Israeli Hebrew
You are wrong. The Phoenician letter Gimel was already an allophone for both fricative and non-fricative g in proto-Semitic since both fricative and no fricative g exited in proto-Semitic. Later on the Hebrew and Aramaic non-fricative g became fricative and the fricative g became a breath whereas in Arabic the original proto-Semitic fricative g continued to exist as a fricative. Therefore when the proto-Semitic script that Phoenician is based on was devised in 1800 BC Gimel already represent both fricative and non-fricative g. 
 the word ''Gomorra'' does not begin with gimel in Hebrew
You are wrong again. I have already explained that Gomorra was nolonger written with Gimel in Hebrew in Hellenistic time but in the spoken language it was still pronounced using the proto-Semitic fricative g which was the same sound as modern Greek gamma. Since proto-Semitic fricative g was no longer written in Hebrew the only way the 72 Hebrew scolders could have recognised it and written it as gamma when they translated the bible into Greek in 280 BC is if Greek gamma was already fully established as a fricative when they learned to speak Greek 50 years earlier as children. 
 given that it is accepted that various changes in Ancient Greek pronunciation started within or soon after the classical period, usage in the Septuagint cannot be automatically be taken as evidence for Attic in the 5th Century, which is the main focus of the article. 
Wrong three times in a row. You have got a hattrick. It is not accepted that changes in ancient Greek pronunciation started after the classical period. It is not even accepted that changes even took place at all and Hebrew and Semitic linguists make it perfectly clear that they accept that the Greek of the Septuagint was pronounced exactly like modern Greek therefore if any changes took place they must have done so well before the Classical period. Let me also add that if you accept Semitic linguists and use the Hebrew pronunciation of the Phoenician letters that later became vowels in Greek then this results in the Greek diphthongs which from the description of Dionysios Thrax is a term which means two letters pronounced as one (and therefore not the same term used in Germanic linguistics), were pronounced as one letter with the same values they have in modern Greek. The reconstructed pronunciation is totally discredited by Semitic linguistic theory alone without even needing to mention Caragounis, and the reason is perfectly clear once you have read the work of its original creators. Its a totally unscientific  theory based on racist fallacies about Germanic linguistic supremacy. Anyone reading the account of ancient Greek grammarians will recall that they all called the Germans barbarians because they could not pronounce ancient Greek correctly so how could any rational person invent a reconstructed pronunciation for ancient Greek that sounds completely Germanic. Only a racist could invent such a theory and that is why this theories creators are shown to be racists by their own words. 
 Since Thrax has not been able to cite one article or one book written by a modern linguist specialised in the Ancient Greek language who accepts your hypothesis, I must conclude that it is impossible to do so. Caragounis is ''not'' ""a linguistics expert and a philologist"", but a professor of Biblical exegesis. He may be a competent theologician (even if he is accused of being a right-wing anti-gay one), but to judge from the article published in ''Filología Neotestamentaria'', he is completely ignorant of the basic principles of historical linguistics.
 I fail to see how it can be racist to deny that the Greek people has used an unaltered language system since the dawn of time. On the contrary, racism is the assumption of a special, unchangeable intellectual capacity of a certain group of people. So, the vehement denial that Ancient Greek may have sounded different than Moden Greek resembles racism more than the honest belief that any stage of a language is an independent system, which must be evaluated on its own terms.
 Thrax' only argument, that the Greek β, δ, γ must be affricates because the Semitic equivalents were affricates, is invalid for two reasons: 1) As pointed out by rossb, the Phoenican sounds were not affricates; and 2) if one accepted Thrax' line of argument and believed that a letter derived from a foreign letter designating an affricate, must be an affricate itself, it would follow that the Latin ''b, d, g'', which are derived from β, δ, γ, would be affricates as well and so would English ''b, d, g''. It would of course be complete nonsense. ",0.0,"3

The discussion is becoming heated and personal attacks are starting to emerge. While the debate is"
30,"I have no source right now, but Finnair only opereted Kaunas last summer while Vilnius Airport was closed for a runway renovation.",0.0,1
31, Removed Minecraft ,0.0,"Comment: Minecraft is for kids. Grow up.

Previous Comment: I love playing Minecraft"
32," The first two sentences also need citations, but only once if it is the same one.  ",0.0,1
33," NPOV-Vio in ""Issues with Apostolic Succession"" section ",0.0,"Intervene level: 3

Explanation: The comment ""NPOV-V"
34," Hello, I'm . I noticed that you made a change to an article, BBVA Compass, but you didn't provide a source. I’ve removed it for now, but if you’d like to include a citation to a reliable source and re-add it, please do so! If you think I made a mistake, or if you have any questions, you can leave me a message on . Thanks.   ",0.0,1
35," A tag has been placed on If You Do Dare, requesting that it be speedily deleted from Wikipedia. This has been done under section G11 of the criteria for speedy deletion, because the page seems to be unambiguous advertising which only promotes a company, product, group, service or person and would need to be fundamentally rewritten in order to become an encyclopedia article. Please read the guidelines on spam as well as Wikipedia:FAQ/Business for more information. You may also wish to consider using a Wizard to help you create articles - see the Article Wizard.
If you think that this notice was placed here in error, you may contest the deletion by adding  to '''the top of the page that has been nominated for deletion''' (just below the existing speedy deletion or ""db"" tag - if no such tag exists then the page is no longer a speedy delete candidate and adding a hangon tag is unnecessary), coupled with adding a note on '''the talk page''' explaining your position, but be aware that once tagged for ''speedy'' deletion, if the page meets the criterion, it may be deleted without delay. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the page that would render it more in conformance with Wikipedia's policies and guidelines. Lastly, please note that if the page does get deleted, you can contact one of these admins to request that they  userfy the page or have a copy emailed to you.    ",0.0,1
36," Please stop your disruptive editing. If you continue to vandalize Wikipedia,  you will be blocked from editing.   
''If this is a shared IP address, and you didn't make any unconstructive edits, consider creating an account for yourself so you can avoid further irrelevant warnings.''",0.0,1
37," Please refrain from making nonconstructive edits to Wikipedia, as you did at Are You the One? with this edit. Your edits appear to constitute vandalism and have been reverted or removed. If you would like to experiment, please use the sandbox. Administrators have the ability to block users from editing if they repeatedly engage in vandalism. Thank you.    (earlier ''Boracay Bill'')",0.0,"3

This comment is informative and provides guidance on appropriate behavior, but it could be perceived as"
38,"Welcome (again) to Wikipedia. I see you have an interest in Aram Avakian! Please use the ""edit summary"" field to explain your changes to articles; this is a routine courtesy to other editors.
Unfortunately, your changes to the Barry Malkin article have rendered it incorrect, and removed a reference. For more controversial edits such as this, you should propose them on the article's talk page first, before actually implementing them. If none of the ""watchers"" (such as myself) object after a few days, go ahead and make the change. As it is, I'll be reverting your edits shortly pending your justification for them. Best regards,  ",0.0,1
39,"My wife reports that her younger brother was poo-toilet-trained (in some sense) by the age of one month: each evening, at an appropriate time after eating, his mother would lift his legs, and he'd know to do a poo.  Is this common?  Is it recommendable?  ",0.0,1
40," Please do not add non-notable names to the list of birthdays or deaths. As the comments in the list suggest, only names that have corresponding Wikipedia articles are eligible for the list. Your edits appear to be vandalism and have been reverted.  Thank you.  Mufka   ",0.0,1
41,"I should like to get back to trying to do this - but actually I have rather too much work to do in ordinary life to do a proper job of any section until June or so. I will have a look at what I thought was of excessive length when I have a moment, though. If I remember correctly, I think what I was getting at was that I think almost all sections are too long: I should be inclined to reduce each section to a succinct one or two paragraph potted history, mentioning only the very most important developments, and to remove all the excess material to the specialised articles on the individual periods (where indeed that same information is often lacking). Come the summer (or possibly before), I think I shall be able to do that reasonably thoroughly at least for some sections, if no-one disagrees.  ",0.0,1
42,"hi, i notice, that a large segment of sociologists are missing from asian and african countries. these sociologists and in particular have contributed lot for the development of sociology at large. may be this would help in understanding the development of sociology in general.",0.0,1
43,"I agree about keeping this as a separate article, and I wrote the reasons at the other discussion  on the other talk page.   ",0.0,1
44,"I think it's against the rules to change the map according to 6-8 month old sources. User LogFTW is adding joint JAN-rebel control in Daraa province while providing sources from last year. We already discussed last year on the talk page if we should add the joint control for those specific areas, and most sources showed minimal JAN influence during those offensives, mostly small group that joins rebel groups during their attacks.  ",0.0,"3

The comment is informative and points out a potential issue with the accuracy of the map based"
45," You may be '''blocked from editing without further warning''' the next time you vandalize Wikipedia, as you did  at Noah Galvin.   ",0.0,1
46, All points addressed.  ,0.0,1
47,"No way. Moreover, it does seem possible that the subject had a hand in creating this article. He certainly comments freely here on talk page.
I suppose there's little actual harm being done here. Other than Wikipedia being used for an 'astrologer's"" vanity project.
 ",0.0,3
48," I've seen quite a lot of Kitchener's signature and none with 'Lord' in them. It would be appalling wrong if it did. I disagree on Viscount Curzon, only a substantive peer is entitled to sign with their title alone. Courtesy peers might or might not do so but they have no right to do so.  ",0.0,1
49,3RR,0.0,"Comment: ""You're just making excuses. Everyone knows the real reason you're doing this."""
50,"Can you conclusively prove that it has no relation to his position as a teacher. As a teacher at poudre he is part of he school, therefore facts about him are relevant on this page. More information is usually better, for instance, if somebody who was planning to attend poudre this comming year and wanted to learn about poudre high school, and upon realizing that they were taking a photography class, they could look at the description of mr. Ney and discover that it would be in their best interest to bring him a steak on the first day of class instead of the traditional apple. ",0.0,"3

The comment seems to be attempting to justify the inclusion of personal information about a teacher,"
51,"Um, that doesn't mean there dating it doesn't say anywhere ""Torrie Wilson & Nick Mitchell are dating"" And just because Nick Mitchell ""may"" live in Spring, Texas doesn't mean his girlfriend is Torrie, it could mean that they are friends. And you have no proof that they live in Spring, Texas, you probably just pick a suburb at it was ''Spring'', okay. ",0.0,1
52,"Would the Danish word for the Virgin Islands not be ""Jomfruøerne"" instead of the German word ""Jungfrauinseln""?
Best regards, Karen from Denmark",0.0,1
53,"The link to ACC (where it says ""account creation request form"") needs to be updated to https://accounts.wmflabs.org, since the tool has recently moved to Wikimedia Labs. Also, the documentation and category should probably be moved into a  subpage. ",0.0,1
54," What do you mean ""whims and fantasies""? Nobody here is doing anything based on whims and fantasies. Please try to understand me.  ",0.0,1
55, March 2014 ,0.0,"Comment: ""This is just another example of how the government is trying to control our lives."
56,"At the discussion Wikipedia talk:WikiProject U.S. states/state templates#Straw Polls, it was agreed not to use the Show/Hide form for these boxes, but you're welcome to continue that discussion on that talk page.  ",0.0,1
57,"I'm a bit concern about adding infoboxes in the article. Music of the Final Fantasy VII series was able to get GA without them, so should be have Infoboxes for each section or not?
I was thinking if we were to add infoboxes, we would merge some together, like some relating to the same series. and if we weren't going to add infoboxes, then we just move the information on to the opening paragraph. any thoughts on how to approach this? ",0.0,1
58,Was that really necessary!? ''''''  ,0.0,1
59, March 2009 ,0.0,"Comment:
""This is just another example of how the government is trying to control our lives"
60,"""Oddity""?",0.0,"Comment: ""Oddity""?

Previous Comment: ""I can't believe you're"
61,"Hello WB, it's good to hear from you! If you have a (non-controversial) definition of ''pottery'' that would be just fine. I didn't enjoy that last little spat on the pottery article one little bit, it left me feeling rotten about the whole business. Regards, Nick.",0.0,1
62, October 2009 ,0.0,"Comment:
""This is just another example of how the government is trying to control our lives"
63,"''Phalaenoptilus'' also uses ""phalaina"" as in ''moth'', as does ''Dendrobium phalaenopsis'' (in the latter case, the derivation isn't mentioned in the article; take my word for it.) These were named by Audobon and Lindley respectively, so we now have three botanists that think ""phalaina"" means ""moth"". I plugged ""phalaina moth whale"" into google, and came up with this rather unattractive page, which gives the following definition: ""phalaina φαλαινα a whale; a moth"". I don't think we have anything much to worry about here. ",0.0,1
64,"Hmmm, apparently not everyone is as thrilled with the bumperstickers as I am. Thanks for placing (and re-placing) one on my page. The hard part for me is in resisting the temptation to slap these on every talkpage in sight, starting with . (j/k, it's a strong temptation, but I am stronger).  ",0.0,1
65,"Unfortunately this has had the effect of creating a duplicate page.  Until May 2012 Bulrush was a dab page.  This was moved to Bulrush (disambiguation), leaving a redirect at Bulrush.  The changes create a second, superfluous dab, duplicating the original.  If a dab article really is needed at Bulrush (which does not seem obvious to me), the logical course would be to move Bulrush (disambiguation) back again.
I have therefore reverted this page back to a redirect.   ",0.0,1
66,I am going to ask that you please wait until more accurate data is available before making changes to the estimate. The place you got your information from did '''NOT''' take uninsured losses and economic damage into effect when making its estimate. Only insured losses were considered which range from 20-65B as it stated. I just wanted you to know why I reverted your edit.  ,0.0,"3

The comment is informative and explains the reason for reverting an edit. However, it"
67,I'm working on it - the molecular stuff is interesting and the info is needed to balance the article which otherwise is loaded towards conservation (not surprising really given the history). Maybe a bit large to go back in the lead.,0.0,1
68, The Gothic language is Germanic Norse ,0.0,Intervening in this discussion would not be necessary at this point. The comment is a statement
69," Touya/Toya/Tōya   
Any chance we could have some sort of consensus on this? 
 I go for Toya. And no, we don't care about ""accuracy"" of a romanization ('sides, Touya is not really any more accurate than Toya). TOKYOPOP and Geneon use Toya. 
 I love ""Touya"" best, but it seems that romanization isn't as ""standard"" as the Hepburn romanization, which is why people are arguing Tōya.  Since it's electronic, doing Tōya isn't much harder than Toya as far as typing it, but would it be a hassle anyway?  As stated, English media uses Toya. ",0.0,1
70,"Thanks Green.  I think you have very clearly summarised some of the problems here.  I started the list mainly as a response to the culling of Marius (giraffe) and doing a bit of research on other culling in zoos.  (By the way, I'm not a zoo-hater.) However, I'm feeling it has lost its rationale for including animals other than ""it has been reported that animal X was killed in Zoo Y"", and this has become complicated by different interpretations of the terms used.  So I am genuinely looking for feedback on this.  I very much take the point that many animals are killed in zoos - for example, hen chicks are fed to many animals, but I would not include these on the list.  Live mice are fed to fussy-eating reptilians, but I would not include the mice on the list. DrChrissy ",0.0,1
71," Please refrain from making unconstructive edits to Wikipedia, as you did with this edit to the page Franz Ferdinand (band). Such edits constitute vandalism and are reverted. Please do not continue to make unconstructive edits to pages; use the sandbox for testing. Thank you.  ",0.0,1
72, September 2015 ,0.0,"Comment: ""This is just another example of how the government is trying to control our lives."
73," Hello, and welcome to Wikipedia. This is a message letting you know that one or more of your recent edits to Villain (2017 film) has been undone by an automated computer program called .

 ClueBot NG makes very few , but it does happen. If you believe the change you made was constructive, please , [ report it here], remove this message from your talk page, and then make the edit again.
 For help, take a look at the introduction.
 The following is the log entry regarding this message: Villain (2017 film) was changed by    ANN scored at 0.96483 on 2017-06-08T04:31:11+00:00 .
Thank you.   ",0.0,1
74,"And still.  Sincerely, ''''",0.0,"Comment: ""And still. Sincerely, ''''""

Previous Comment: ""I think"
75, August 2008 ,0.0,"Comment:
""This is just another example of how the government is trying to control our lives"
76,"Jim, I'm not your opponent, but simply an editor trying to bring the article to a neutral state. That's a process, and I wasn't able to complete it because you simply reverted me, as you've done every time any editor has changed the article from what you've wanted it to say. Once you did that, I couldn't make any more changes without violating the Three-revert rule (3RR). You've violated 3RR on multiple occasions, and quite frankly should have remained blocked. I respect the admin's choice to unblock you, as that is their right. -  ",0.0,"3

The comment is informative and points out specific rules and behaviors that have occurred. While it"
77," ""Precise"" ",0.0,"Comment: ""You're just another snowflake who can't handle the truth.""

Previous"
78,"The current BBC News 24 set/studio has recently been brought into critisism; as it is alleged to be ""tiny"" and ""falling apart"". The current desk doesn't light up properly due to blow bulbs, the camera that pans the studio at the Top of the Hour makes a squealing and chugging noise that is clearly audible on air, a failing autocue (hence the mass of paper on the desk at times) and a scratched floor.
It is understood that BBC News 24 will be moving into a brand new purpose built studio in April 2008, and the studio is alleged to contain ""the largest live newsroom in the world"".
Aside from the copyediting issues, it makes a combination of unsourced opinion statements, dubious trivia points and unverified speculation. I couldn't find anything authoritative to back any of it up, but if anyone knows better, here it is. Otherwise, we'll see what happens come April...  ",0.0,1
79,"My credentials are quite sufficient; I won't belabor them here but they extend a bit beyond what you cite. My desire for your credentials had more to do with wanting to know your real name. You seem to think that an ITIL masters' is required for anyone to have an opinion (just curious - did your ITIL training cover PinkVerify and ITSMF/OGC/ISO politics?). I imagine that if someone showed up with an ITIL master's disagreeing with you, you would point to your practitioner certifications, and if someone showed up with comparable practitioner certifications, you'd point to your years of experience, always trying to claim the higher ground of authority and belittle everyone else.
Unfortunately for you this is Wikipedia, and ""by their fruits ye shall know them.""  You'll just have to use your considerable powers of charm and persuasion to recruit others to your cause, because there is no Wikipedia policy recognizing  certifications.
HP's participation in PinkVerify is irrelevant to this debate, as you well know. There is no officially recognized ITIL certification for organizations or tools, if we understand ITIL as a copyrighted term of the UK government. I am a bit weary of debate that does not result in any changes to the article. ",0.0,"3

This comment contains a mix of constructive criticism and personal attack. The commenter is challenging the"
80,"When I mentioned varactors/varicaps in my edit summary, I was not referring to small-signal non-linearity, instead I was alluding to the fact that system parameters may vary over time (varactors happen to be an example where the small-signal parameters are actively controlled).
 Again, I think you misunderstand. The small-signal parameters are linear, but the small-signal model is just an approximation of reality. The reality is the ""large signal"" model. Over large signal swings, a varicap does not have a linear impedance regardless of its bias. Over small signal changes, the bias effect dominates; however, the voltage–current ratio still is not ''that'' linear. In fact, the difference between a varicap and a diode is that a varicap has been specially designed to have an excessively large linear approximation region. —'''''' //@)
 Again, I'm aware of that, and again I was merely trying to highlight that in many practical situations, the time-varying linear small-signal model is a perfectly valid approximation.  |
I ",0.0,1
81,"For example, the statement, ""the effect of a high-pass filter can be simulated on a computer,"" seems misplaced.  You can implement a high-pass filter in discrete time, and it actually is a high-pass filter, not an approximation of one.   ",0.0,1
82,"As this act is probably apocryphal and possibly lethal, I would suggest the current picture is uncessary and inappropriate and should therefore be removed.  —Preceding unsigned comment added by    ",0.0,1
83,"Thank you for offering to change your username and stop editing. I trust that this means that edits like this one, which came after the above statement, will not be repeated.  ",0.0,1
84, February 2010 ,0.0,"Comment: ""This is just another example of how the government is trying to control our lives."
85,"I'm not going behind anyone, Wikipedia informs you when I've undone something. When that happens, I usually provide edit summaries that you can read. Please assume good faith, I mean well. ''''''",0.0,1
86,"Even Archduchess Catalina Micaela of Austria, her sister is not called ''Elisabeth Clara Eugenie'' so why is her name ''overly'' English!?  ",0.0,1
87,Thank you JasonAQuest. I was curious. You have acces to Barkin's book maybe?   ,0.0,1
